La maison de la pizza
KFC
Burger King
Pizza Hut
M3i9date Ba M'Barek
3 Façades
Les Facades
La Pescada
Rihanna Food
Hn Africa Food
McDonald's®
La Grillardière
Jeff de Bruges
La Fontaine des Délices
Crunchy
Sunday's
El Bocadillo
Bewok
Euro-Snack
Yamato Sushi
J Cool Ma39oda
La Broche
Double Zéro Petit-Déj & Crêperie
Twin's Tacos
Maystro Restaurant
Sky Pool Fast Food
L'Atelier Meknes
L3chir
La Braise
Café Restaurant Malaaib
Sushi By O'Maystro
Tacos O'Marock
Urban Sandwich
Estrella
Pipo Food
Vanitas
Oasis Café Tafernout
Estrella Asiatique
UNIK
Urban Panini
Double Zéro Italien
Promenade Palace
Capizzi
Amore Italiano
Black Iris
Tacos du Bled
Skypool
